mz,int,formula
150.056052,23,C8H9N1O2
151.003682,104.5,C7H4O4
151.040067,551.6,C8H8O3
151.076453,195.7,C9H12O2
152.035316,64.3,C7H7N1O3
152.071702,3.9,C8H11N1O2
153.019332,728.3,C7H6O4
153.055717,290.4,C8H10O3
153.092103,59.8,C9H14O2
154.014581,48.9,C6H5N1O4
154.050966,6.4,C7H9N1O3
154.998597,144.6,C6H4O5
155.034982,410.8,C7H8O4
155.071367,65.8,C8H12O3
156.030231,18.4,C6H7N1O4
157.014247,384.2,C6H6O5
157.029503,50.7,C10H6O2
157.050632,109.7,C7H10O4
159.008767,9,C9H4O3
159.029897,135.9,C6H8O5
159.045153,563.1,C10H8O2
159.066282,47.6,C7H12O4
160.040402,70.5,C9H7N1O2
161.009161,39.3,C5H6O6
161.024417,489.2,C9H6O3
161.045547,144.5,C6H10O5
161.060803,429.9,C10H10O2
162.019666,40.6,C8H5N1O3
162.056052,40,C9H9N1O2
163.003682,219.3,C8H4O4
163.024811,42.7,C5H8O6
163.040067,562.8,C9H8O3
163.076453,316,C10H12O2
164.035316,36.9,C8H7N1O3
164.071702,16,C9H11N1O2
165.019332,528.9,C8H6O4
165.055717,430.1,C9H10O3
165.092103,146.1,C10H14O2
166.014581,13.5,C7H5N1O4
166.050966,37.8,C8H9N1O3
166.998597,85.4,C7H4O5
167.034982,533.3,C8H8O4
167.046215,2,C7H8N2O3
167.071367,175,C9H12O3
168.030231,39.4,C7H7N1O4
168.066616,2.3,C8H11N1O3
169.014247,502.6,C7H6O5
169.029503,49.2,C11H6O2
169.050632,234.5,C8H10O4
170.045881,19.3,C7H9N1O4
170.993511,4.9,C6H4O6
171.029897,336.9,C7H8O5
171.045153,229.9,C11H8O2
171.066282,56.8,C8H12O4
172.040402,9.2,C10H7N1O2
172.991403,54.4,C6H6O4S1
173.009161,112.2,C6H6O6
173.024417,161.9,C10H6O3
173.045547,144.3,C7H10O5
173.060803,306.6,C11H10O2
174.056052,37.6,C10H9N1O2
175.003682,44.4,C9H4O4
175.024811,113.7,C6H8O6
175.040067,493.3,C10H8O3
175.061196,4.7,C7H12O5
175.076453,255.1,C11H12O2
175.097582,1.5,C8H16O4
176.035316,55.8,C9H7N1O3
176.071702,6.3,C10H11N1O2
177.019332,472.5,C9H6O4
177.040461,8.6,C6H10O6
177.055717,423.2,C10H10O3
177.092103,182.8,C11H14O2
178.014581,16.2,C8H5N1O4
178.050966,41.7,C9H9N1O3
178.998597,160.7,C8H4O5
179.034982,587,C9H8O4
179.056111,19.4,C6H12O6
179.071367,291.9,C10H12O3
179.107753,75.8,C11H16O2
180.030231,45.4,C8H7N1O4
180.066616,19.3,C9H11N1O3
181.014247,638.3,C8H6O5
181.050632,424.8,C9H10O4
181.087017,134.9,C10H14O3
182.009495,29.7,C7H5N1O5
182.045881,44.9,C8H9N1O4
182.993511,32.8,C7H4O6
183.029897,541.9,C8H8O5
183.045153,152.5,C12H8O2
183.066282,204,C9H12O4
184.025146,31.4,C7H7N1O5
184.040402,13.8,C11H7N1O2
184.061531,13.8,C8H11N1O4
184.991403,2.5,C7H6O4S1
185.009161,506.5,C7H6O6
185.024417,131.9,C11H6O3
185.045547,309.3,C8H10O5
185.060803,309.3,C12H10O2
185.081932,70.9,C9H14O4
186.019666,3.5,C10H5N1O3
186.040796,10.7,C7H9N1O5
186.056052,34.6,C11H9N1O2
187.003682,51.6,C10H4O4
187.024811,333.9,C7H8O6
187.040067,483,C11H8O3
187.061196,105.8,C8H12O5
187.076453,305.6,C12H12O2
188.035316,50.8,C10H7N1O3
188.056445,1.7,C7H11N1O5
188.071702,33.4,C11H11N1O2
188.986318,37.5,C6H6O5S1
189.004076,7.8,C6H6O7
189.019332,427.7,C10H6O4
189.040461,143.1,C7H10O6
189.055717,595,C11H10O3
189.076846,16.4,C8H14O5
189.092103,257.3,C12H14O2
190.014581,17.8,C9H5N1O4
190.050966,78.8,C10H9N1O3
190.087352,6,C11H13N1O2
190.998597,224.3,C9H4O5
191.019726,79.5,C6H8O7
191.034982,775.8,C10H8O4
191.056111,57.6,C7H12O6
191.071367,456.8,C11H12O3
191.107753,196.8,C12H16O2
192.030231,66.4,C9H7N1O4
192.066616,45.9,C10H11N1O3
193.014247,631.4,C9H6O5
193.029503,2,C13H6O2
193.035376,77.5,C6H10O7
193.050632,687,C10H10O4
193.087017,300.8,C11H14O3
193.123403,80,C12H18O2
194.009495,12.9,C8H5N1O5
194.045881,85.6,C9H9N1O4
194.082266,10.2,C10H13N1O3
194.993511,63.7,C8H4O6
194.996882,14.5,C5H8O6S1
195.029897,887.6,C9H8O5
195.04113,2.2,C8H8N2O4
195.045153,178.5,C13H8O2
195.051026,13.3,C6H12O7
195.066282,461.5,C10H12O4
195.077515,1.5,C9H12N2O3
195.102667,146.4,C11H16O3
196.025146,69.6,C8H7N1O5
196.040402,18.4,C12H7N1O2
196.061531,62.9,C9H11N1O4
196.991403,13.7,C8H6O4S1
