mz,int,formula
107.050641,19848858,C7H8O1
109.029913,33457130,C6H6O2
111.009184,31676286,C5H4O3
113.024841,30545776,C5H6O3
113.061231,7808369,C6H10O2
115.004113,12951506,C4H4O4
119.05069,14496332,C8H8O1
121.029957,30047360,C7H6O2
121.06635,18951308,C8H10O1
123.009232,13645686,C6H4O3
123.045615,43255688,C7H8O2
124.048981,2419287,C6H8O2 13C1
125.024889,40934220,C6H6O3
125.06128,19938144,C7H10O2
127.004159,14262226,C5H4O4
127.076938,6193665,C7H12O2
131.050733,10445626,C9H8O1
133.030013,13660610,C8H6O2
133.066402,17365474,C9H10O1
135.009282,8541404,C7H4O3
135.045663,46074112,C8H8O2
135.082052,18229538,C9H12O1
136.049022,4555469,C7H8O2 13C1
137.024933,49033376,C7H6O3
137.061319,45060292,C8H10O2
138.020191,9981092,C6H5N1O3
138.028304,4043948,C6H6O3 13C1
138.064681,5227731,C7H10O2 13C1
139.004211,19228858,C6H4O4
139.040597,45209824,C7H8O3
139.076979,21653768,C8H12O2
140.043968,3573543,C6H8O3 13C1
141.019865,30441832,C6H6O4
143.035535,18877052,C6H8O4
143.05078,12188302,C10H8O1
145.014794,11424700,C5H6O5
145.030054,19526606,C9H6O2
145.066448,15774715,C10H10O1
147.009327,9999703,C8H4O3
147.04571,45006212,C9H8O2
147.082103,19885490,C10H12O1
148.049075,5429874,C8H8O2 13C1
149.024979,43288396,C8H6O3
149.061373,56878968,C9H10O2
149.097762,20416424,C10H14O1
150.06472,4604033,C8H10O2 13C1
151.004254,20402498,C7H4O4
151.040641,76444016,C8H8O3
151.077029,45986208,C9H12O2
152.035901,9934466,C7H7N1O3
152.044007,5750413,C7H8O3 13C1
152.080761,2895037,C8H12O2 13C1
153.019913,75611024,C7H6O4
153.056301,49249212,C8H10O3
153.092697,19250156,C9H14O2
154.023282,5230774,C6H6O4 13C1
154.059648,5993702,C7H10O3 13C1
154.999189,13080000,C6H4O5
155.035577,32998896,C7H8O4
155.071961,18396704,C8H12O3
157.014843,27668530,C6H6O5
157.051222,17399906,C7H10O4
157.066496,16474230,C11H10O1
159.030501,14916259,C6H8O5
159.045756,46176952,C10H8O2
159.082141,18565864,C11H12O1
160.049119,4050918,C9H8O2 13C1
161.025031,51520748,C9H6O3
161.061426,49702172,C10H10O2
161.097794,22480204,C11H14O1
162.020289,6173191,C8H5N1O3
162.028402,4471313,C8H6O3 13C1
162.06478,6044225,C9H10O2 13C1
163.004313,27619082,C8H4O4
163.0407,72838968,C9H8O3
163.077081,55750504,C10H12O2
163.113461,15171480,C11H16O1
164.044054,7480397,C8H8O3 13C1
164.080435,7251068,C9H12O2 13C1
165.01997,48314676,C8H6O4
165.056349,76888416,C9H10O3
165.09273,41662864,C10H14O2
166.023308,4128304,C7H6O4 13C1
166.051608,6805076,C8H9N1O3
166.059708,8195678,C8H10O3 13C1
166.096095,4353676,C9H14O2 13C1
166.99923,13591292,C7H4O5
167.035628,58442536,C8H8O4
167.071998,46613336,C9H12O3
167.108398,14492549,C10H16O2
168.038979,5230601,C7H8O4 13C1
168.075357,5214262,C8H12O3 13C1
169.014894,30657718,C7H6O5
169.030151,6757577,C11H6O2
169.051271,33115362,C8H10O4
169.087673,16813326,C9H14O3
171.030543,28210726,C7H8O5
171.045815,23516728,C11H8O2
171.066937,15963729,C8H12O4
171.082196,17020514,C12H12O1
173.009814,7603989,C6H6O6
173.025084,23404326,C10H6O3
173.046199,16670526,C7H10O5
173.06147,48029520,C11H10O2
173.09786,15097721,C12H14O1
174.064808,4938674,C10H10O2 13C1
175.00435,9996213,C9H4O4
175.025479,9865164,C6H8O6
175.040745,73820128,C10H8O3
175.077116,52881412,C11H12O2
175.1135,16615467,C12H16O1
176.035998,8571905,C9H7N1O3
176.044081,9571337,C9H8O3 13C1
176.080484,6980656,C10H12O2 13C1
177.020016,62763004,C9H6O4
177.056389,84144160,C10H10O3
177.092782,46903368,C11H14O2
177.129154,10489964,C12H18O1
178.01527,5805031,C8H5N1O4
178.023358,6935535,C8H6O4 13C1
178.05976,9335826,C9H10O3 13C1
178.096137,6503479,C10H14O2 13C1
178.999289,20715430,C8H4O5
179.035659,79820744,C9H8O4
179.072058,66484204,C10H12O3
179.108443,27678734,C11H16O2
180.030916,9681776,C8H7N1O4
180.039024,6896503,C8H8O4 13C1
180.067301,7699345,C9H11N1O3
180.075412,7175065,C9H12O3 13C1
180.111804,4750266,C10H16O2 13C1
181.014933,34979564,C8H6O5
181.051323,60292876,C9H10O4
181.087722,37257004,C10H14O3
181.124102,9133899,C11H18O2
182.018307,4452946,C7H6O5 13C1
182.054699,5505649,C8H10O4 13C1
182.091071,4592271,C9H14O3 13C1
183.030597,33572248,C8H8O5
183.045847,14837158,C12H8O2
183.06698,33490360,C9H12O4
183.103357,15082964,C10H16O3
184.033962,3043507,C7H8O5 13C1
184.070333,2690255,C8H12O4 13C1
185.009879,7928721,C7H6O6
185.025137,15494043,C11H6O3
185.046265,23522218,C8H10O5
185.061519,32443318,C12H10O2
185.08264,15281094,C9H14O4
185.097895,10931153,C13H14O1
186.064852,5090945,C11H10O2 13C1
187.004412,7311614,C10H4O4
187.02554,13254923,C7H8O6
187.040794,53285140,C11H8O3
187.06192,11780387,C8H12O5
187.077162,44306732,C12H12O2
187.11354,12312901,C13H16O1
188.036041,7545748,C10H7N1O3
188.044148,6476697,C10H8O3 13C1
188.080512,5804975,C11H12O2 13C1
189.020057,50517480,C10H6O4
189.041178,9184757,C7H10O6
189.05643800000001,81303040,C11H10O3
189.092837,39867924,C12H14O2
189.129201,12052009,C13H18O1
190.023421,5079080,C9H6O4 13C1
190.051685,12679223,C10H9N1O3
190.059791,9234491,C10H10O3 13C1
190.096203,5808208,C11H14O2 13C1
190.999325,22493750,C9H4O5
191.035715,77535816,C10H8O4
191.072093,77077088,C11H12O3
191.108494,34904688,C12H16O2
192.030955,8592451,C9H7N1O4
192.03907,9722951,C9H8O4 13C1
192.075467,9948249,C10H12O3 13C1
192.111845,4840555,C11H16O2 13C1
193.014981,50503192,C9H6O5
193.05138,71900712,C10H10O4
193.087761,57941564,C11H14O3
193.124133,23633482,C12H18O2
194.018323,5386202,C8H6O5 13C1
194.046617,9236454,C9H9N1O4
194.054715,8703977,C9H10O4 13C1
194.083006,8695797,C10H13N1O3
194.091112,7024633,C10H14O3 13C1
194.127537,3899401,C11H18O2 13C1
194.994257,8950130,C8H4O6
195.030653,48128384,C9H8O5
195.045897,11981191,C13H8O2
195.067039,59482512,C10H12O4
195.103415,36348316,C11H16O3
196.034013,4598536,C8H8O5 13C1
196.070396,7025429,C9H12O4 13C1
196.10678,5002019,C10H16O3 13C1
197.00992,20677738,C8H6O6
197.025168,9028719,C12H6O3
197.046314,43017336,C9H10O5
197.061564,21677180,C13H10O2
197.082696,37004420,C10H14O4
197.119077,10097807,C11H18O3
198.049659,3831239,C8H10O5 13C1
198.064904,4475340,C12H10O2 13C1
198.086047,3204563,C9H14O4 13C1
199.025568,19252982,C8H8O6
199.04084,35219196,C12H8O3
199.061954,29337346,C9H12O5
199.077229,27961094,C13H12O2
199.098343,13870860,C10H16O4
199.113606,6866705,C14H16O1
199.171123,10229538,C12H24O2
